,Time,Thrust,Prop_Mass
0,0.0,89.08362651887612,0.5583218357766798
1,0.01,228.053643259557,0.5553497761804645
2,0.02,362.48159244991723,0.5519658139801132
3,0.03,457.6746327486971,0.5479727999402554
4,0.04,544.389581093934,0.5434176286824792
5,0.05,620.0763687733137,0.5383611965825179
6,0.060000000000000005,658.0187011679453,0.533073233372126
7,0.07,658.7683871550657,0.5277984103296831
8,0.08,662.3157496060011,0.5224974634672013
9,0.09,665.3001307729475,0.5171755949140295
10,0.09999999999999999,668.2759548750353,0.5118326457524246
11,0.10999999999999999,671.1523066140455,0.5064692554637729
12,0.11999999999999998,673.9494378871636,0.5010859323964565
13,0.12999999999999998,676.666271113771,0.4956832091438637
14,0.13999999999999999,679.3051281961247,0.4902616137211125
15,0.15,681.8672442776694,0.4848216743988977
16,0.16,684.3537445091501,0.4793639184326736
17,0.17,686.7655417239833,0.4738888720723767
18,0.18000000000000002,689.1034124456946,0.4683970604136204
19,0.19000000000000003,691.3680232809354,0.46288900733532773
20,0.20000000000000004,693.5599551561158,0.45736523546129076
21,0.21000000000000005,695.6797203254762,0.45182626614553234
22,0.22000000000000006,697.727775275836,0.4462726194736895
23,0.23000000000000007,699.7045305113511,0.44070481427629765
24,0.24000000000000007,701.6103580858005,0.4351233681508076
25,0.25000000000000006,703.4455974619768,0.4295287974900661
26,0.26000000000000006,705.210560116394,0.42392161751559815
27,0.2700000000000001,706.9055331915646,0.4183023423144518
28,0.2800000000000001,708.5307824177206,0.41267148487868377
29,0.2900000000000001,710.0865544687355,0.40702955714678846
30,0.3000000000000001,711.5730788759391,0.401377070046541
31,0.3100000000000001,712.9905695936178,0.3957145335388556
32,0.3200000000000001,714.3392262879793,0.39004245666234943
33,0.3300000000000001,715.6192354049754,0.3843613475783804
34,0.34000000000000014,716.8307710600621,0.37867171361637847
35,0.35000000000000014,717.9739957836556,0.3729740613193386
36,0.36000000000000015,719.0490611488858,0.3672688964893689
37,0.37000000000000016,720.0561083027794,0.36155672423322266
38,0.38000000000000017,720.9952684177146,0.35583804900775756
39,0.3900000000000002,721.8666630766703,0.3501133746652826
40,0.4000000000000002,722.6704046031771,0.3443832044987682
41,0.4100000000000002,723.4065963447922,0.3386480412869047
42,0.4200000000000002,724.0753329172894,0.33290838733899936
43,0.4300000000000002,724.6767004154306,0.3271647445397144
44,0.4400000000000002,725.2107765951314,0.3214176143936479
45,0.45000000000000023,725.6776310309833,0.31566749806977
46,0.46000000000000024,726.077325252397,0.3099148964457224
47,0.47000000000000025,726.4099128610796,0.3041603101520012
48,0.48000000000000026,726.6754396320896,0.2984042396160373
49,0.49000000000000027,726.8739436003427,0.2926471851061956
50,0.5000000000000002,727.005455134128,0.28688964677571416
51,0.5100000000000002,727.0699969969351,0.28113212470660576
52,0.5200000000000002,727.0675843986925,0.2753751189535442
53,0.5300000000000002,726.9982250373157,0.2696191295877636
54,0.5400000000000003,726.8619191313443,0.26386465674099113
55,0.5500000000000003,726.6586594442953,0.25811220064944523
56,0.5600000000000003,726.3884313012762,0.2523622616979216
57,0.5700000000000003,726.0512125982974,0.24661534046399633
58,0.5800000000000003,725.6469738046579,0.2408719377623771
59,0.5900000000000003,725.175677958703,0.23513255468942607
60,0.6000000000000003,724.6372806572078,0.229397692667889
61,0.6100000000000003,724.0317300385831,0.22366785349185814
62,0.6200000000000003,723.3589667600646,0.21794353937200073
63,0.6300000000000003,722.6189239690034,0.21222525298108336
64,0.6400000000000003,721.8115272683484,0.20651349749982612
65,0.6500000000000004,720.9366946763762,0.20080877666311836
66,0.6600000000000004,719.9943365807084,0.19511159480662968
67,0.6700000000000004,718.9843556866182,0.18942245691385082
68,0.6800000000000004,717.9066469596158,0.18374186866360018
69,0.6900000000000004,716.7610975622814,0.17807033647803133
70,0.7000000000000004,715.5475867852922,0.1724083675711805
71,0.7100000000000004,714.265985972575,0.16675646999808957
72,0.7200000000000004,712.916158440494,0.16111515270454763
73,0.7300000000000004,711.4979593909725,0.15548492557748808
74,0.7400000000000004,710.0112358184293,0.14986629949608626
75,0.7500000000000004,708.4558264103902,0.14425978638359946
76,0.7600000000000005,706.8315614416263,0.13866589925999412
77,0.7700000000000005,705.1382626616451,0.13308515229540765
78,0.7800000000000005,703.3757431753589,0.1275180608644915
79,0.7900000000000005,701.5438073167179,0.121965141601687
80,0.8000000000000005,699.6422505150994,0.11642691245748446
81,0.8100000000000005,697.670859154212,0.11090389275572056
82,0.8200000000000005,695.6294104232611,0.10539660325196873
83,0.8300000000000005,693.5176721601056,0.09990556619308259
84,0.8400000000000005,691.3354026861095,0.09443130537795205
85,0.8500000000000005,689.0823506323777,0.08897434621953662
86,0.8600000000000005,686.758254757038,0.08353521580824122
87,0.8700000000000006,684.3628437532141,0.07811444297670497
88,0.8800000000000006,681.8958360473042,0.07271255836607542
89,0.8900000000000006,679.3569395871601,0.06733009449384393
90,0.9000000000000006,676.7458516197269,0.061967585823322534
91,0.9100000000000006,674.0622584576844,0.05662556883484628
92,0.9200000000000006,671.3058352345913,0.05130458209878789
93,0.9300000000000006,668.4762456480058,0.04600516635047831
94,0.9400000000000006,665.573141690019,0.040727864567131185
95,0.9500000000000006,662.596163364603,0.03547322204687158
96,0.9600000000000006,659.5449383911305,0.03024178648997896
97,0.9700000000000006,656.4190818933876,0.025034108082457422
98,0.9800000000000006,653.2181960733463,0.019850739582054924
99,0.9900000000000007,649.9418698689245,0.014692236406855528
100,1.0000000000000007,646.5896785948997,0.009559156726583133
101,1.0100000000000007,643.1611835660909,0.004452061556755671
