,Time,Thrust,Prop_mass
0,0.0,569.6815946130238,14.797672785068084
1,0.225750000000006,3193.998101080656,14.265904670489482
2,0.451500000000012,3364.0859526709173,13.664424902652371
3,0.677250000000018,3468.5042495164257,13.045192130262134
4,0.903000000000024,3562.7511630894032,12.410515685483775
5,1.12875000000003,3647.4468416402146,11.761911563359032
6,1.354500000000036,3722.0045270740225,11.100978871433433
7,1.5802500000000421,3785.870196679772,10.429408981065423
8,1.806000000000048,3838.5632467952137,9.748973833320786
9,2.031750000000054,3879.682382648699,9.061514433043872
10,2.25750000000006,3908.9098314210737,8.368927393354324
11,2.483250000000066,3926.0142248504,7.673150536382716
12,2.709000000000072,3930.8531104336735,6.976148479217577
13,2.934750000000078,3923.374341649695,6.279898023478177
14,3.1605000000000842,3903.616989387949,5.586372893437605
15,3.38625000000009,3871.71097963905,4.897529190549668
16,3.612000000000096,3827.8761358656316,4.215289783269069
17,3.837750000000102,3772.4202949213673,3.541530470835903
18,4.063500000000108,3705.7368010865225,2.878065756254366
19,4.289250000000114,3628.3008021079327,2.226636092676413
20,4.51500000000012,3540.664980690622,1.5888937538734753
21,4.740750000000126,3443.454457909415,0.9663930377993881
22,4.966500000000132,3337.3610984347047,0.36057838674484255
23,5.192250000000138,967.5310772073169,0.0
24,5.418000000000144,0.0,0.0
