,Time,Thrust,Prop_Mass,Chamber_Pressure,Klemmung,Web_Thickness
0,0.0,514.5541098299346,14.797672785068084,1000000.0,625.3421550094519,0.0
1,0.001,547.4263376172825,14.796368392072845,1054044.6720854356,625.370399557917,2.9030000000000004e-06
2,0.002,580.5444892589315,14.79503659587779,1108236.879063716,625.3992374789382,5.866987362974846e-06
3,0.003,613.8665568596931,14.793678162530611,1162523.0419423007,625.4286521849748,8.890257206687434e-06
4,0.004,647.3532177638638,14.7922938247298,1216853.3426267835,625.4586278106106,1.197117886942204e-05
5,0.005,680.9676694986462,14.790884284218032,1271181.456759205,625.4891491607278,1.5108190583371406e-05
6,0.006,714.6754759967255,14.789450213923823,1325464.3107439438,625.520201664134,1.8299794708267687e-05
7,0.007,497.64950692181264,14.787992259885632,1379661.8600415483,625.5517713318966,2.1544553449160252e-05
8,0.008,529.9113681526114,14.786511042987067,1433736.8862565737,625.5838447197727,2.4841084994660325e-05
9,0.009000000000000001,562.2532896837446,14.78500716052721,1487654.81091037,625.6164088942037,2.8188060022052116e-05
10,0.010000000000000002,594.6431440950877,14.783480963034341,1541383.5240905322,625.64943096893,3.158419852390706e-05
11,0.011000000000000003,627.05113910569,14.781932719835563,1594893.2218053371,625.6828730202529,3.5028266917610895e-05
12,0.012000000000000004,659.4496377854388,14.780363465141829,1648156.258543813,625.7167689198429,3.851907540082751e-05
13,0.013000000000000005,691.813007987566,14.77877371522434,1701147.0282391403,625.7511075162427,4.2055475527786476e-05
14,0.014000000000000005,724.1174715981533,14.777163968757574,1753841.828548704,625.7858780380838,4.563635799667286e-05
15,0.015000000000000006,756.3409736011032,14.775534707738933,1806218.7442018792,625.821070074223,4.9260650603820194e-05
16,0.016000000000000007,788.4630630398489,14.77388639833758,1858257.538412213,625.8566735554072,5.292731635551484e-05
17,0.017000000000000008,820.4647843918661,14.772219491679603,1909939.5516491167,625.892678737313,5.6635351721359525e-05
18,0.01800000000000001,852.3285781102808,14.770534424575896,1961247.607142816,625.9290761848259,6.0383785015139225e-05
19,0.01900000000000001,884.0381892796844,14.768830958426427,2012165.9225642541,625.965796437058,6.417167489083906e-05
20,0.02000000000000001,915.578574473285,14.767110012876762,2062680.0129571762,626.002877073853,6.799810894292834e-05
21,0.02100000000000001,946.9358399454113,14.76537212994666,2112776.638812556,626.040322654706,7.186220239061367e-05
22,0.022000000000000013,978.0971648852866,14.763617695687916,2162443.7255883603,626.078124861488,7.576309686756066e-05
23,0.023000000000000013,1009.050732795035,14.761847084784213,2211670.292426609,626.1162756210158,7.969995928383087e-05
24,0.024000000000000014,1039.7856695487574,14.760060661031792,2260446.3881503833,626.1547670946933,8.367198075717468e-05
25,0.025000000000000015,1070.2919857394552,14.758258777790534,2308763.031093511,626.1935916687939,8.767837561003572e-05
26,0.026000000000000016,1100.5605229314137,14.756441751488016,2356612.152491329,626.2327394866611,9.171838042684983e-05
27,0.027000000000000017,1130.5829030967348,14.754609104941597,2403986.542579964,626.272129294458,9.579125316677333e-05
28,0.028000000000000018,1160.351470467411,14.75276199365984,2450879.782706926,626.3118299986174,9.989627232705328e-05
29,0.02900000000000002,1189.8592711443066,14.750900733412239,2497286.235105572,626.3518348121787,0.00010403273614173394
30,0.03000000000000002,1219.1000000755773,14.749025631417087,2543200.979465821,626.3921371319758,0.00010819996184903351
31,0.03100000000000002,1248.0679624611585,14.747136986658852,2588619.770811299,626.4327305318155,0.00011239728498602857
32,0.03200000000000002,1276.7580375159162,14.745235090188725,2633538.9997321065,626.4736087560179,0.0001166240587206984
33,0.03300000000000002,1305.165644418042,14.74332022540957,2677955.654825111,626.5147657132914,0.00012087965321866017
34,0.03400000000000002,1333.286710285655,14.741392023900765,2721867.2872049552,626.5561364940231,0.0001251634550421636
35,0.035000000000000024,1361.117630520256,14.739451129887595,2765271.962122901,626.5977496663481,0.00012947486657912693
36,0.036000000000000025,1388.6552555105798,14.737498068798816,2808168.2508212966,626.639623703311,0.0001338133054909919
37,0.037000000000000026,1415.8968622514792,14.735533096143586,2850555.197933575,626.6817531267423,0.00013817820420163515
38,0.03800000000000003,1442.8401252118442,14.73355646100526,2892432.286983206,626.7241325962426,0.00014256900940888014
39,0.03900000000000003,1469.4830925465467,14.731568406252757,2933799.413522584,626.7667569046521,0.00014698518161503676
40,0.04000000000000003,1495.824163646195,14.72956916874222,2974656.8597073974,626.8096209737255,0.00015142619467889618
41,0.04100000000000003,1521.8620679404467,14.727558294581566,3015005.2702247887,626.8526570422606,0.00015589153538785651
42,0.04200000000000003,1547.595834535398,14.725536429700483,3054845.6134954435,626.8958988401117,0.00016038070304895828
43,0.04300000000000003,1573.024790052511,14.723504053506158,3094179.186061819,626.9393654443217,0.00016489320908836378
44,0.04400000000000003,1598.148538299428,14.721461380753743,3133007.588308483,626.9830522619039,0.00016942857668297514
45,0.04500000000000003,1622.9669394130726,14.719408621065913,3171332.6989626638,627.0269548096401,0.00017398634040538324
46,0.046000000000000034,1647.4800938732126,14.717345979087717,3209156.6567405737,627.0710687107692,0.00017856604588006197
47,0.047000000000000035,1671.688327381043,14.715273654635082,3246481.8429575283,627.1153896918106,0.00018316724945360974
48,0.048000000000000036,1695.5921765530807,14.713190870692635,3283310.865050311,627.1598242544288,0.000187789517878266
49,0.04900000000000004,1719.1923604678632,14.71109878226573,3319646.5180057525,627.2044569385037,0.0001924324280079841
50,0.05000000000000004,1742.4897977107719,14.708997578971593,3355491.81556276,627.2492840794591,0.00019709556649365328
